Current,New
victoria,renaissance
dufay,renaissance
binchois,renaissance
guerrero,renaissance
lassus,renaissance
morales,renaissance
bach,baroque
purcell,baroque
vivaldi,baroque
rameau,baroque
haydn,classical
mozart,classical
pleyel,classical
beethoven,classical
paganini,romantic
brahms,romantic
chopin,romantic
wagner,romantic
listz,romantic
faure,romantic
bartok,modernist
nes,nintendo
snes,nintendo
